location_id,destination,date,month,max_temp_f,min_temp_f,precipitation_in,avg_humidity_pct,avg_temp_f,rain_in,rainy_day,max_wind_speed_mph,max_wind_gust_mph
0,Bangkok,2025-04-13,April,97.5,76,0.173,66,88.2,0.173,Yes,7,23
0,Bangkok,2025-04-14,April,90,77.8,0.335,80,82.6,0.335,Yes,6.6,19.2
0,Bangkok,2025-04-15,April,96.7,78.9,0.24,76,84.7,0.24,Yes,7.9,25.7
0,Bangkok,2025-04-16,April,87,79.2,0.547,86,82.6,0.547,Yes,5.2,15.4
0,Bangkok,2025-04-17,April,93.7,78.2,0.118,77,84.8,0.118,Yes,6.8,17.2
0,Bangkok,2025-04-18,April,94.5,79.3,0.224,74,85.6,0.224,Yes,6.7,20.8
0,Bangkok,2025-04-19,April,96.3,79.8,0.157,71,87.3,0.157,Yes,7,22.4
0,Bangkok,2025-04-20,April,96.6,83.7,0.008,63,89.2,0.008,Yes,8.9,25.1
0,Bangkok,2025-04-21,April,97.8,82.9,0,60,89.6,0,No,7.7,23
0,Bangkok,2025-04-22,April,97.3,82.7,0,62,89.5,0,No,9.2,25.1
0,Bangkok,2025-04-23,April,100.1,83.8,0.028,62,89.5,0.028,Yes,7.5,23.9
0,Bangkok,2025-04-24,April,96.6,83.3,0,64,89.5,0,No,9.2,22.8
0,Bangkok,2025-04-25,April,101.7,84.5,0.004,61,91,0.004,Yes,8.9,21.7
0,Bangkok,2025-04-26,April,95.9,84.5,0.094,68,88.3,0.094,Yes,10.1,28.4
0,Bangkok,2025-04-27,April,90.9,80,0.354,78,84.1,0.354,Yes,8.7,23.3
0,Bangkok,2025-04-28,April,95.3,78.8,0.031,69,86.6,0.031,Yes,7.4,22.4
0,Bangkok,2025-04-29,April,93.9,79.7,0.071,64,87,0.071,Yes,5.7,14.3
0,Bangkok,2025-04-30,April,100.3,75.8,1.287,68,87.3,1.287,Yes,8.4,24.2
0,Bangkok,2025-05-01,May,92.7,77.9,0.157,78,85.5,0.157,Yes,4.5,13
0,Bangkok,2025-05-02,May,93.2,77.9,0.161,80,84.5,0.161,Yes,5.3,14.3
0,Bangkok,2025-05-03,May,88.8,78.4,0.043,84,82.7,0.043,Yes,4.9,12.8
0,Bangkok,2025-05-04,May,91.6,80.9,0.063,78,85.1,0.063,Yes,4.6,13.2
0,Bangkok,2025-05-05,May,91.8,80.6,0.004,77,85.7,0.004,Yes,7.1,17.9
0,Bangkok,2025-05-06,May,89.4,79.8,0.264,83,84,0.264,Yes,6.9,19
0,Bangkok,2025-05-07,May,90.1,80.9,0.114,79,85,0.114,Yes,7.1,19
0,Bangkok,2025-05-08,May,95.5,81.3,0.134,77,86.7,0.134,Yes,7.6,18.3
0,Bangkok,2025-05-09,May,94.9,81.5,0.193,74,87.7,0.193,Yes,6.2,13.9
0,Bangkok,2025-05-10,May,96.4,77,1.22,81,83.5,1.22,Yes,5.6,17.4
0,Bangkok,2025-05-11,May,88.9,75.7,0.394,86,81.9,0.394,Yes,6,17
0,Bangkok,2025-05-12,May,89.3,75.7,0.406,86,80.6,0.406,Yes,6.3,19.5
0,Bangkok,2025-05-13,May,86.6,75.7,0.626,85,81.2,0.626,Yes,5.1,14.8
0,Bangkok,2025-05-14,May,87.1,77.1,0.571,87,81.1,0.571,Yes,9,22.4
0,Bangkok,2025-05-15,May,87.4,76.7,0.228,87,81.4,0.228,Yes,5.6,15.9
0,Bangkok,2025-05-16,May,89.4,78.4,0.496,88,82.6,0.496,Yes,4.6,18.1
0,Bangkok,2025-05-17,May,88.8,78.3,0.815,88,82.3,0.815,Yes,6.4,18.1
0,Bangkok,2025-05-18,May,90.8,79.2,0.004,82,84.5,0.004,Yes,4.9,12.8
0,Bangkok,2025-05-19,May,89.3,80.6,0.071,83,84.4,0.071,Yes,6.5,18.6
0,Bangkok,2025-05-20,May,90.2,81.3,0.024,78,85.3,0.024,Yes,4.7,12.8
0,Bangkok,2025-05-21,May,87.7,79.7,0.276,85,83.6,0.276,Yes,7,17.9
0,Bangkok,2025-05-22,May,90.9,80.2,0.134,79,85,0.134,Yes,6.2,15.9
0,Bangkok,2025-05-23,May,93.8,78.9,0.142,78,84.9,0.142,Yes,7.5,17.7
0,Bangkok,2025-05-24,May,91,76.3,0.39,82,83,0.39,Yes,7.3,19.9
0,Bangkok,2025-05-25,May,88.4,77.5,0.528,86,81.8,0.528,Yes,8.3,19.5
0,Bangkok,2025-05-26,May,86.5,78.4,0.417,87,81.1,0.417,Yes,8.9,20.4
0,Bangkok,2025-05-27,May,85.6,79,0.079,86,82.1,0.079,Yes,6.7,18.3
0,Bangkok,2025-05-28,May,90.1,80.2,0.102,82,84.4,0.102,Yes,5.7,15.4
0,Bangkok,2025-05-29,May,88.5,81.5,0.157,83,84.1,0.157,Yes,6.5,19.2
0,Bangkok,2025-05-30,May,87.8,80.8,0.646,85,83,0.646,Yes,9.6,21.5
0,Bangkok,2025-05-31,May,87.4,78.4,0.287,86,82.3,0.287,Yes,9.2,24.8
0,Bangkok,2025-06-01,June,89.3,80.1,0.646,80,83.5,0.646,Yes,7.8,23
0,Bangkok,2025-06-02,June,89.1,78.4,0.335,83,83,0.335,Yes,8.6,23.5
0,Bangkok,2025-06-03,June,88.3,78.4,0,81,82.9,0,No,7.9,20.1
0,Bangkok,2025-06-04,June,92.8,79,0.252,79,84.3,0.252,Yes,6.9,20.4
0,Bangkok,2025-06-05,June,93.7,79.6,0.142,76,84.7,0.142,Yes,7,18.3
0,Bangkok,2025-06-06,June,93.3,79.5,0.016,76,85.7,0.016,Yes,6.1,17.2
0,Bangkok,2025-06-07,June,93.7,78.3,0.319,78,84.6,0.319,Yes,9.2,21.5
0,Bangkok,2025-06-08,June,90.9,79.7,0.043,78,85.3,0.043,Yes,7.2,18.1
0,Bangkok,2025-06-09,June,90.7,78.8,0.079,79,83.8,0.079,Yes,8,22.8
0,Bangkok,2025-06-10,June,91.1,78.3,0.028,75,84.4,0.028,Yes,7.7,18.8
0,Bangkok,2025-06-11,June,91.5,78.1,0.083,77,83.9,0.083,Yes,5.3,19.9
0,Bangkok,2025-06-12,June,91.6,78,0.236,81,82.7,0.236,Yes,9.2,24.6
0,Bangkok,2025-06-13,June,86.1,79.4,0.193,85,81.8,0.193,Yes,7.6,23.9
0,Bangkok,2025-06-14,June,87.4,78.5,0.52,86,81.7,0.52,Yes,9.5,27.1
0,Bangkok,2025-06-15,June,88,77.6,0.059,82,82.4,0.059,Yes,7.6,18.1
0,Bangkok,2025-06-16,June,90.7,77.4,0.051,77,83.6,0.051,Yes,7,18.3
0,Bangkok,2025-06-17,June,91.7,77.5,0.189,77,84.1,0.189,Yes,6,18.6
0,Bangkok,2025-06-18,June,92.2,78.4,0.11,76,84,0.11,Yes,5.5,18.1
0,Bangkok,2025-06-19,June,90.4,77.5,0.539,81,82.7,0.539,Yes,6.9,17.7
0,Bangkok,2025-06-20,June,89,78.1,0.071,77,83,0.071,Yes,6.6,21.5
0,Bangkok,2025-06-21,June,91.3,77.8,0.827,80,83.2,0.827,Yes,6.3,19.2
0,Bangkok,2025-06-22,June,90.1,77.5,0.205,76,83.4,0.205,Yes,8.9,23.9
0,Bangkok,2025-06-23,June,90.5,77.9,0.217,79,82.8,0.217,Yes,8.9,24.6
0,Bangkok,2025-06-24,June,87.5,78.2,0.071,78,82.7,0.071,Yes,7.1,18.6
0,Bangkok,2025-06-25,June,89.7,78,0.217,81,83.1,0.217,Yes,6.5,19.2
0,Bangkok,2025-06-26,June,90.5,75.7,0.26,74,83.1,0.26,Yes,7.6,19.5
0,Bangkok,2025-06-27,June,88.7,76.1,0.528,81,81.3,0.528,Yes,6.6,21.5
0,Bangkok,2025-06-28,June,85.2,77.2,0.386,85,80.4,0.386,Yes,5.9,19.2
0,Bangkok,2025-06-29,June,86.7,76.2,0.528,85,80.5,0.528,Yes,5.8,22.1
0,Bangkok,2025-06-30,June,85.5,78.3,0.118,82,81.1,0.118,Yes,7.6,20.4
0,Bangkok,2025-07-01,July,88,76.6,0.791,85,80.9,0.791,Yes,6.2,20.4
0,Bangkok,2025-07-02,July,82.9,76.9,0.406,89,79.2,0.406,Yes,7.6,17.4
0,Bangkok,2025-07-03,July,87.2,76.4,0.657,85,80.3,0.657,Yes,6.4,17
0,Bangkok,2025-07-04,July,88.8,77.8,0.409,80,82,0.409,Yes,6.7,22.1
0,Bangkok,2025-07-05,July,90.3,76.8,0.189,80,81.7,0.189,Yes,8.7,23.3
0,Bangkok,2025-07-06,July,88.4,78.6,0.126,81,82.3,0.126,Yes,5.8,21.5
0,Bangkok,2025-07-07,July,87.2,78,0.185,83,82.5,0.185,Yes,7.1,23
0,Bangkok,2025-07-08,July,85.8,77.1,0.472,89,80.7,0.472,Yes,7.5,23.3
0,Bangkok,2025-07-09,July,87.1,77.2,0.138,82,82.4,0.138,Yes,6.6,20.1
0,Bangkok,2025-07-10,July,89.3,77.4,0.098,79,82.8,0.098,Yes,8.7,25.3
0,Bangkok,2025-07-11,July,87.6,77.5,0.067,77,82.5,0.067,Yes,8.9,25.1
0,Bangkok,2025-07-12,July,90.9,78.4,0.437,78,83.2,0.437,Yes,6.3,21.7
0,Bangkok,2025-07-13,July,91.2,78.4,0.657,83,83.6,0.657,Yes,4.9,18.8
0,Bangkok,2025-07-14,July,89.4,79,0.071,83,83.3,0.071,Yes,6.9,18.6
0,Bangkok,2025-07-15,July,89.2,79,0.295,83,83.7,0.295,Yes,6.9,16.3
0,Bangkok,2025-07-16,July,87.4,77.5,0.177,85,81.7,0.177,Yes,8.4,19.5
0,Bangkok,2025-07-17,July,88.1,78.6,0.283,86,81.6,0.283,Yes,6.1,16.1
0,Bangkok,2025-07-18,July,86.3,78.1,0.094,82,82,0.094,Yes,7.8,21.7
0,Bangkok,2025-07-19,July,88.6,78.3,0.508,84,81.7,0.508,Yes,7.8,23
0,Bangkok,2025-07-20,July,87.4,77.8,0.303,86,80.5,0.303,Yes,8,26.2
0,Bangkok,2025-07-21,July,85.3,77.5,0.118,85,80.7,0.118,Yes,8.3,28.9
0,Bangkok,2025-07-22,July,84.7,78.6,0.299,86,80.4,0.299,Yes,9.2,23.7
0,Bangkok,2025-07-23,July,86.2,79.9,0.083,82,82.1,0.083,Yes,7.9,29.1
0,Bangkok,2025-07-24,July,88.7,79,0.004,79,83.4,0.004,Yes,8.2,23.7
0,Bangkok,2025-07-25,July,90.3,78.7,0.051,75,84.3,0.051,Yes,9.4,23.9
0,Bangkok,2025-07-26,July,89.9,77.6,0.177,79,83.3,0.177,Yes,8.6,25.5
0,Bangkok,2025-07-27,July,86.5,79.2,0.055,84,82.4,0.055,Yes,6.2,19
0,Bangkok,2025-07-28,July,85.4,79.3,0.807,85,82.2,0.807,Yes,7.7,25.3
0,Bangkok,2025-07-29,July,87.4,79.2,0.244,83,82.7,0.244,Yes,8.5,25.3
